Year,Player_Name,Birth_date,ipl start,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2017,Sanju Samson,11-11-1994,2013,14,0,386,102,27.57,273,141.39,1,2,32,19,4,0,14,0,0,0,0,0,0,0,0,0
2016,Sanju Samson,11-11-1994,2013,14,3,291,60,26.45,259,112.35,0,1,20,8,3,1,14,0,0,0,0,0,0,0,0,0
2015,Sanju Samson,11-11-1994,2013,14,1,204,76,20.4,163,125.15,0,1,16,8,9,0,14,0,0,0,0,0,0,0,0,0
2014,Sanju Samson,11-11-1994,2013,13,0,339,74,26.07,273,124.17,0,2,25,17,5,2,13,0,0,0,0,0,0,0,0,0
2013,Sanju Samson,11-11-1994,2013,11,2,206,63,25.75,178,115.73,0,1,19,5,13,0,11,0,0,0,0,0,0,0,0,0
2022,Rohit Sharma,30-04-1987,2008,14,0,268,48,19.14,223,120.18,0,0,28,13,7,0,14,0,0,0,0,0,0,0,0,0
2021,Rohit Sharma,30-04-1987,2008,13,0,381,63,29.3,299,127.42,0,1,33,14,1,0,13,7,13,0,0/4,0,11.14,0,0,0
2020,Rohit Sharma,30-04-1987,2008,12,0,332,80,27.66,260,127.69,0,3,27,19,6,0,12,0,0,0,0,0,0,0,0,0
2019,Rohit Sharma,30-04-1987,2008,15,1,405,67,28.92,315,128.57,0,2,52,10,4,0,15,0,0,0,0,0,0,0,0,0
2018,Rohit Sharma,30-04-1987,2008,14,2,286,94,23.83,215,133.02,0,2,25,12,8,0,14,0,0,0,0,0,0,0,0,0
2017,Rohit Sharma,30-04-1987,2008,17,2,333,67,23.78,273,121.97,0,3,31,9,10,0,17,0,0,0,0,0,0,0,0,0
2016,Rohit Sharma,30-04-1987,2008,14,3,489,85,44.45,368,132.88,0,5,49,16,2,0,14,0,0,0,0,0,0,0,0,0
2015,Rohit Sharma,30-04-1987,2008,16,2,482,98,34.42,333,144.74,0,3,41,21,5,0,16,0,0,0,0,0,0,0,0,0
2014,Rohit Sharma,30-04-1987,2008,15,2,390,59,30,302,129.13,0,3,31,16,5,0,15,18,26,1,Jan-20,26,8.66,18,0,0
2013,Rohit Sharma,30-04-1987,2008,19,5,538,79,38.42,409,131.54,0,4,35,28,7,0,19,8,6,0,0/1,0,4.5,0,0,0
2012,Rohit Sharma,30-04-1987,2008,17,2,433,109,30.92,342,126.6,1,3,39,18,13,0,17,6,16,0,0/16,0,16,0,0,0
2011,Rohit Sharma,30-04-1987,2008,16,3,372,87,33.81,297,125.25,0,3,32,13,7,0,16,48,53,0,0/14,0,13.25,0,0,0
2010,Rohit Sharma,30-04-1987,2008,16,2,404,73,28.85,302,133.77,0,3,36,14,9,0,16,114,153,2,Jan-19,76.5,8.05,57,0,0
2009,Rohit Sharma,30-04-1987,2008,16,3,362,52,27.84,315,114.92,0,1,22,18,5,0,16,138,161,11,04-Jun,14.63,7,12.54,1,0
2008,Rohit Sharma,30-04-1987,2008,13,1,404,76,36.72,273,147.98,0,4,38,19,8,0,13,24,25,1,Jan-25,25,6.25,24,0,0
2024,Rohit Sharma,30-04-1987,2008,14,1,417,105,32.08,278,150,1,1,45,23,3,0,0,0,0,0,0,0,0,0,0,0
2023,Rohit Sharma,30-04-1987,2008,16,0,332,65,20.75,250,132.8,0,2,35,17,1,0,16,0,0,0,0,0,0,0,0,0
2022,Rishabh Pant,04-10-1997,2016,14,2,340,44,30.91,224,151.79,0,0,35,16,8,4,14,0,0,0,0,0,0,0,0,0
2021,Rishabh Pant,04-10-1997,2016,16,4,419,58,34.91,326,128.52,0,3,42,10,10,3,16,0,0,0,0,0,0,0,0,0
2020,Rishabh Pant,04-10-1997,2016,14,3,343,56,31.18,301,113.95,0,1,31,9,13,0,14,0,0,0,0,0,0,0,0,0
2019,Rishabh Pant,04-10-1997,2016,16,3,488,78,37.53,300,162.66,0,3,37,27,18,6,16,0,0,0,0,0,0,0,0,0
2018,Rishabh Pant,04-10-1997,2016,14,1,684,128,52.61,394,173.6,1,5,68,37,4,2,14,0,0,0,0,0,0,0,0,0
2017,Rishabh Pant,04-10-1997,2016,14,0,366,97,26.14,221,165.61,0,2,28,24,8,3,14,0,0,0,0,0,0,0,0,0
2016,Rishabh Pant,04-10-1997,2016,10,2,198,69,24.75,152,130.26,0,1,19,6,3,0,10,0,0,0,0,0,0,0,0,0
2024,Rishabh Pant,04-10-1997,2016,13,2,446,88,40.55,287,155.4,0,3,36,25,11,5,0,0,0,0,0,0,0,0,0,0
2022,Ravindra Jadeja,06-12-1988,2008,10,4,116,26,19.33,98,118.37,0,0,6,5,7,0,10,198,248,5,Mar-39,49.6,7.52,39.6,0,0
2021,Ravindra Jadeja,06-12-1988,2008,16,9,227,62,75.66,156,145.51,0,1,19,9,13,0,16,294,346,13,Mar-13,26.61,7.06,22.61,0,0
2020,Ravindra Jadeja,06-12-1988,2008,14,6,232,50,46.4,135,171.85,0,1,22,11,5,0,14,218,318,6,Feb-42,53,8.75,36.33,0,0
2019,Ravindra Jadeja,06-12-1988,2008,16,6,106,31,35.33,88,120.45,0,0,7,4,9,0,16,324,343,15,03-Sep,22.86,6.35,21.6,0,0
2018,Ravindra Jadeja,06-12-1988,2008,16,5,89,27,17.8,74,120.27,0,0,3,4,11,0,16,246,303,11,Mar-18,27.54,7.39,22.36,0,0
2017,Ravindra Jadeja,06-12-1988,2008,12,6,158,28,39.5,113,139.82,0,0,13,4,2,0,12,228,349,5,Feb-28,69.8,9.18,45.6,0,0
2016,Ravindra Jadeja,06-12-1988,2008,15,6,191,36,21.22,178,107.3,0,0,14,4,4,0,15,241,311,8,Feb-18,38.87,7.74,30.12,0,0
2015,Ravindra Jadeja,06-12-1988,2008,17,5,132,24,18.85,126,104.76,0,0,7,3,13,0,17,256,330,11,04-Nov,30,7.73,23.27,1,0
2014,Ravindra Jadeja,06-12-1988,2008,16,5,146,36,29.2,110,132.72,0,0,9,5,4,0,16,326,443,19,04-Dec,23.31,8.15,17.15,2,0
2013,Ravindra Jadeja,06-12-1988,2008,18,6,201,38,25.12,135,148.88,0,0,17,6,6,0,18,259,323,13,Mar-20,24.84,7.48,19.92,0,0
2012,Ravindra Jadeja,06-12-1988,2008,19,2,191,48,15.91,151,126.49,0,0,13,9,2,0,19,210,273,12,May-16,22.75,7.8,17.5,0,1
2011,Ravindra Jadeja,06-12-1988,2008,14,3,283,47,31.44,228,124.12,0,0,20,14,1,0,14,252,305,8,Feb-25,38.12,7.26,31.5,0,0
2009,Ravindra Jadeja,06-12-1988,2008,13,2,295,42,26.81,266,110.9,0,0,21,6,4,0,13,140,151,6,Mar-15,25.16,6.47,23.33,0,0
2008,Ravindra Jadeja,06-12-1988,2008,14,2,135,36,19.28,103,131.06,0,0,11,6,7,0,14,13,21,0,0/0,0,9.69,0,0,0
2024,Ravindra Jadeja,06-12-1988,2008,14,5,267,57,44.5,187,142.78,0,1,22,8,6,0,14,282,369,8,43160,46.13,7.85,35.25,0,0
2023,Ravindra Jadeja,06-12-1988,2008,16,4,190,25,23.75,133,142.86,0,0,11,9,9,0,16,342,431,20,Mar-20,21.55,7.56,17.1,0,0
2024,Mohammed Siraj,13-03-1994,2017,14,1,12,12,6,8,150,0,0,0,2,3,0,14,324,496,15,15766,33.07,9.19,21.6,0,0
2023,Mohammed Siraj,13-03-1994,2017,14,1,1,1,1,2,50,0,0,0,0,4,0,14,300,376,19,Apr-21,19.79,7.52,15.79,1,0
2022,Mohammed Siraj,13-03-1994,2017,15,3,30,14,15,33,90.91,0,0,5,0,6,0,15,306,514,9,Feb-30,57.11,10.08,34,0,0
2021,Mohammed Siraj,13-03-1994,2017,15,3,20,12,20,26,76.92,0,0,1,1,4,0,15,312,353,11,Mar-27,32.09,6.78,28.36,0,0
2020,Mohammed Siraj,13-03-1994,2017,9,2,17,10,17,14,121.42,0,0,2,0,4,0,9,163,236,11,03-Aug,21.45,8.68,14.81,0,0
2019,Mohammed Siraj,13-03-1994,2017,9,3,4,3,4,14,28.57,0,0,0,0,2,0,9,169,269,7,Feb-38,38.42,9.55,24.14,0,0
2018,Mohammed Siraj,13-03-1994,2017,11,2,25,14,12.5,22,113.63,0,0,2,1,5,0,11,246,367,11,Mar-25,33.36,8.95,22.36,0,0
2017,Mohammed Siraj,13-03-1994,2017,6,0,0,0,0,0,0,0,0,0,0,1,0,6,138,212,10,Apr-32,21.2,9.21,13.8,1,0
2024,Kuldeep Yadav,14-12-1994,2016,11,2,47,35,15.67,41,114.63,0,0,6,1,2,0,11,258,374,16,20180,23.38,8.7,16.13,1,0
2023,Kuldeep Yadav,14-12-1994,2016,14,8,31,10,15.5,48,64.58,0,0,2,0,2,0,14,294,361,10,Feb-15,36.1,7.37,29.4,0,0
2022,Kuldeep Yadav,14-12-1994,2016,14,6,48,16,48,52,92.31,0,0,3,2,5,0,14,298,419,21,Apr-14,19.95,8.44,14.19,2,0
2020,Kuldeep Yadav,14-12-1994,2016,5,1,13,12,13,21,61.9,0,0,1,0,0,0,5,72,92,1,Jan-20,92,7.66,72,0,0
2019,Kuldeep Yadav,14-12-1994,2016,9,2,12,10,6,8,150,0,0,1,0,3,0,9,198,286,4,Feb-41,71.5,8.66,49.5,0,0
2018,Kuldeep Yadav,14-12-1994,2016,16,2,12,7,12,24,50,0,0,1,0,6,0,16,308,418,17,Apr-20,24.58,8.14,18.11,1,0
2017,Kuldeep Yadav,14-12-1994,2016,12,0,20,16,10,22,90.9,0,0,2,0,1,0,12,246,340,12,Feb-25,28.33,8.29,20.5,0,0
2016,Kuldeep Yadav,14-12-1994,2016,3,0,0,0,0,0,0,0,0,0,0,1,0,3,72,100,6,Mar-35,16.66,8.33,12,0,0
2024,Jasprit Bumrah,06-12-1993,2013,13,4,12,8,0,12,100,0,0,1,0,1,0,13,311,336,20,44317,16.8,6.48,15.55,0,1
2022,Jasprit Bumrah,06-12-1993,2013,14,4,0,0,0,8,0,0,0,0,0,2,0,14,320,383,15,05-Oct,25.53,7.18,21.33,0,1
2021,Jasprit Bumrah,06-12-1993,2013,14,5,16,5,8,17,94.11,0,0,2,0,4,0,14,330,410,21,Mar-36,19.52,7.45,15.71,0,0
2020,Jasprit Bumrah,06-12-1993,2013,15,1,5,5,0,3,166.66,0,0,0,0,0,0,15,360,404,27,Apr-14,14.96,6.73,13.33,2,0
2019,Jasprit Bumrah,06-12-1993,2013,16,3,0,0,0,1,0,0,0,0,0,2,0,16,370,409,19,Mar-20,21.52,6.63,19.47,0,0
2018,Jasprit Bumrah,06-12-1993,2013,14,2,10,6,10,11,90.9,0,0,1,0,4,0,14,324,372,17,Mar-15,21.88,6.88,19.05,0,0
2017,Jasprit Bumrah,06-12-1993,2013,16,1,17,16,17,12,133.33,0,0,0,1,2,0,16,356,439,20,03-Jul,21.95,7.39,17.8,0,0
2016,Jasprit Bumrah,06-12-1993,2013,14,1,8,6,8,11,72.72,0,0,1,0,1,0,14,312,406,15,Mar-13,27.06,7.8,20.8,0,0
2015,Jasprit Bumrah,06-12-1993,2013,4,1,0,0,0,0,0,0,0,0,0,0,0,4,90,184,3,Jan-38,61.33,12.26,30,0,0
2014,Jasprit Bumrah,06-12-1993,2013,11,2,1,1,0,3,33.33,0,0,0,0,0,0,11,238,301,5,Feb-22,60.2,7.58,47.6,0,0
2013,Jasprit Bumrah,06-12-1993,2013,2,0,0,0,0,0,0,0,0,0,0,0,0,2,42,70,3,Mar-32,23.33,10,14,0,0
2024,Hardik Pandya,11-10-1993,2015,14,1,216,46,18,151,143.05,0,0,17,11,4,0,14,216,387,11,11383,35.18,10.75,19.64,0,0
2023,Hardik Pandya,11-10-1993,2015,16,4,346,66,31.45,253,136.76,0,2,26,15,8,0,16,150,228,3,01-Oct,76,9.12,50,0,0
2022,Hardik Pandya,11-10-1993,2015,15,4,487,87,44.27,371,131.27,0,4,49,12,4,0,15,183,222,8,Mar-17,27.75,7.28,22.88,0,0
2021,Hardik Pandya,11-10-1993,2015,12,2,127,40,14.11,112,113.39,0,0,11,5,4,0,12,0,0,0,0,0,0,0,0,0
2020,Hardik Pandya,11-10-1993,2015,14,5,281,60,35.12,157,178.98,0,1,14,25,6,0,14,0,0,0,0,0,0,0,0,0
2019,Hardik Pandya,11-10-1993,2015,16,6,402,91,44.66,210,191.42,0,1,28,29,11,0,16,255,390,14,Mar-20,27.85,9.17,18.21,0,0
2018,Hardik Pandya,11-10-1993,2015,13,4,260,50,28.88,195,133.33,0,1,20,11,8,0,13,256,381,18,Mar-24,21.16,8.92,14.22,0,0
2017,Hardik Pandya,11-10-1993,2015,17,9,250,35,35.71,160,156.25,0,0,11,20,12,0,17,156,213,6,Feb-22,35.5,8.19,26,0,0
2016,Hardik Pandya,11-10-1993,2015,11,2,44,9,6.28,63,69.84,0,0,4,0,6,0,11,100,153,3,01-Jul,51,9.18,33.33,0,0
2015,Hardik Pandya,11-10-1993,2015,9,3,112,61,22.4,62,180.64,0,1,9,8,6,0,9,102,176,1,Jan-13,176,10.35,102,0,0
2024,Axar Patel,20-01-1994,2014,14,4,235,66,29.38,179,131.28,0,2,19,10,13,0,14,264,337,11,45689,30.64,7.66,24,0,0
2023,Axar Patel,20-01-1994,2014,14,3,283,54,28.3,203,139.41,0,1,21,15,7,0,14,282,338,11,Feb-13,30.73,7.19,25.64,0,0
2022,Axar Patel,20-01-1994,2014,13,6,182,42,45.5,120,151.67,0,0,12,10,8,0,13,258,321,6,02-Oct,53.5,7.47,43,0,0
2021,Axar Patel,20-01-1994,2014,12,1,40,12,8,46,86.95,0,0,2,1,4,0,12,276,306,15,Mar-21,20.4,6.65,18.4,0,0
2020,Axar Patel,20-01-1994,2014,15,1,117,42,14.62,85,137.64,0,0,6,8,6,0,15,306,327,9,Feb-18,36.33,6.41,34,0,0
2019,Axar Patel,20-01-1994,2014,14,6,110,26,18.33,88,125,0,0,10,3,9,0,14,306,364,10,Feb-22,36.4,7.13,30.6,0,0
2018,Axar Patel,20-01-1994,2014,9,2,80,19,13.33,69,115.94,0,0,3,4,2,0,9,156,218,3,Jan-21,72.66,8.38,52,0,0
2017,Axar Patel,20-01-1994,2014,14,5,227,44,28.37,162,140.12,0,0,11,11,7,0,14,288,362,15,03-Nov,24.13,7.54,19.2,0,0
2016,Axar Patel,20-01-1994,2014,14,3,111,36,15.85,77,144.15,0,0,4,8,2,0,14,287,388,13,Apr-21,29.84,8.11,22.07,1,0
2015,Axar Patel,20-01-1994,2014,14,3,206,40,22.88,174,118.39,0,0,13,8,7,0,14,280,392,13,02-Nov,30.15,8.4,21.53,0,0
2014,Axar Patel,20-01-1994,2014,17,2,62,42,10.33,60,103.33,0,0,6,1,7,0,17,396,405,17,Mar-24,23.82,6.13,23.29,0,0
2024,Arshdeep Singh,05-02-1999,2019,14,0,4,4,4,3,133.33,0,0,1,0,1,0,14,302,505,19,47209,26.58,10.03,15.89,1,0
2023,Arshdeep Singh,05-02-1999,2019,14,2,2,2,0,2,100,0,0,0,0,1,0,14,305,493,17,Apr-29,29,9.7,17.94,1,0
2022,Arshdeep Singh,05-02-1999,2019,14,3,21,10,7,29,72.41,0,0,3,0,4,0,14,300,385,10,Mar-37,38.5,7.7,30,0,0
2021,Arshdeep Singh,05-02-1999,2019,12,2,2,1,0,3,66.66,0,0,0,0,4,0,12,248,342,18,May-32,19,8.27,13.77,0,1
2020,Arshdeep Singh,05-02-1999,2019,8,0,0,0,0,3,0,0,0,0,0,2,0,8,149,218,9,Mar-23,24.22,8.77,16.55,0,0
2019,Arshdeep Singh,05-02-1999,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,3,60,109,3,Feb-43,36.33,10.9,20,0,0
